X3_2046_B	X7_2472_B	X9_2492_B	X11_2653_B	X15_2677_B	X17_2691_B	X23_2817_B	X25_2852_B
ENSG00000069702	82	69	310	584	1127	205	1030	337
ENSG00000069712	67	97	72	36	155	66	235	111
ENSG00000069812	12	182	18	38	14	455	13	20
ENSG00000070759	84	76	148	187	265	131	101	509
ENSG00000070785	236	464	265	279	308	201	417	325
ENSG00000070831	2828	5687	3156	3875	3749	3865	10399	4423
ENSG00000070886	0	2	4	26	1	0	137	55
ENSG00000072694	521	337	670	56	204	1066	488	76
ENSG00000073754	1	0	5	0	0	0	0	0
ENSG00000073756	16	30	177	19	48	27	10	23
ENSG00000074800	9159	24738	21440	5371	6400	7163	8917	6802
ENSG00000074964	1029	1143	575	527	627	809	1494	1018
ENSG00000075151	823	1708	1085	1115	1318	1385	2882	1450
ENSG00000075391	340	1742	449	543	1312	809	811	675
ENSG00000075945	526	871	1102	551	1006	602	1109	517
ENSG00000076258	30	205	48	36	134	96	146	40
ENSG00000076321	131	337	246	227	399	253	402	231
ENSG00000076356	305	529	246	783	628	303	771	421
ENSG00000076864	233	224	111	354	315	126	893	378
ENSG00000077152	782	2362	220	64	175	99	310	151
ENSG00000077157	415	658	1043	616	1645	529	865	713
ENSG00000077254	625	1067	903	900	1200	735	3321	931
ENSG00000077522	22	4	3	3	3	3	3	7
ENSG00000077549	2158	4403	2755	2401	3103	3892	6411	3806
ENSG00000077585	197	399	194	307	843	1103	419	422
ENSG00000078369	4553	5926	3726	4769	4656	4864	14827	7572
ENSG00000078618	1690	2691	2241	1357	1908	1593	3331	1709
ENSG00000078808	1654	2593	2148	2405	2012	2305	4118	3012
ENSG00000078900	22	24	58	39	99	67	500	57
ENSG00000079277	517	557	592	236	474	902	837	301
ENSG00000079335	52	58	82	62	170	112	264	645
ENSG00000079739	320	1009	1028	976	847	586	641	428
ENSG00000080947	141	165	111	7	81	76	139	74
ENSG00000081019	296	437	394	309	461	326	971	485
ENSG00000081026	141	365	192	490	612	350	2315	829
ENSG00000081237	920	778	1637	398	1784	2751	2805	500
ENSG00000081248	0	0	1	0	1	0	2	0
ENSG00000081277	1083	795	1191	135	253	38	19	84
ENSG00000081692	1881	940	472	368	503	256	479	323
ENSG00000081721	184	509	301	316	332	178	259	152
ENSG00000081870	225	452	301	214	229	222	557	311
ENSG00000081985	22	65	316	12	22	42	14	6
ENSG00000082482	18	136	10	28	136	120	38	16
ENSG00000082497	11	366	1168	160	404	369	349	189
ENSG00000082512	468	1009	450	788	1998	938	581	703
ENSG00000083444	2754	4697	4468	931	1763	1859	2751	1616
ENSG00000084070	385	603	812	749	1298	1661	1755	827
ENSG00000084072	567	454	353	307	471	441	793	343
ENSG00000084073	526	1275	627	1101	1402	745	2499	1332
ENSG00000084623	1108	2687	1273	1757	1395	1282	3070	2462
ENSG00000084628	8	31	3	52	258	801	7749	2305
ENSG00000084636	343	1096	3059	805	1871	1775	2619	1820
ENSG00000084652	978	2026	1548	1273	1434	1379	2900	1537
ENSG00000085433	148	294	241	180	227	191	512	292
ENSG00000085465	26	45	39	14	65	19	32	58
ENSG00000085491	422	1164	470	1149	1300	803	2284	536
ENSG00000085552	960	1396	171	404	922	158	373	144
ENSG00000085831	34	303	99	1517	1031	438	1109	821
ENSG00000085832	665	1190	1277	1135	1453	1325	2628	1048
ENSG00000085840	129	310	82	8	28	27	153	55
ENSG00000085998	777	839	990	1067	1040	624	3004	1888
ENSG00000085999	210	290	121	9	57	31	263	70
ENSG00000086015	442	1468	677	677	1234	955	3129	1492
ENSG00000086619	130	126	199	70	406	100	108	201
ENSG00000088035	215	392	312	204	348	178	252	216
ENSG00000088280	627	1179	788	1082	663	448	1936	507
ENSG00000090020	396	604	425	1319	986	900	1891	794
ENSG00000090104	974	662	2071	192	808	1579	346	142
ENSG00000090273	1006	2101	1151	1198	1194	1067	2673	1930
ENSG00000090432	246	283	324	424	478	375	955	529
